ORIENTACION,ALTITUD,COD_EJEMPLAR,COD_INTERNO,ESPECIE_EPITETO,FAMILIA,PRODECENCIA,GENERO,ESPECIE,SUBESPECIE,
PRADO DE LAS POZAS,,320 DEMB16,89,Luzula campestris,JUNCACEAE,GR,Luzula,campestris,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,164DEMB16,90,Trifolium repens subsp. nevadense,FABACEAE,SN,Trifolium,repens,nevadense,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,165DEMB16,91,Luzula campestris subsp. nevadensis,JUNCACEAE,SN,Luzula,campestris,nevadensis,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,179DEMB16,92,Juncus conglomeratus ,JUNCACEAE,SN,Juncus,conglomeratus,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,162DEMB16,93,Gentiana pneumonanthe subsp. depressa,GENTIANACEAE,SN,Gentiana,pneumonanthe,depressa,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,182DEMB16,94,Cerastium alpinum subsp. nevadense,CARYOPHYLLACEAE,SN,Cerastium,alpinum,nevadense,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,176DEMB16,95,Carex echinata ,CYPERACEAE,SN,Carex,echinata,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,159DEMB16,96,Campanula herminii 2,CAMPANULACEAE,SN,Campanula,herminii,,
Navasomera NORTE,,281 DEMB16,97,Festuca rivularis,POACEAE,GR,Festuca,rivularis,,
Navasomera NORTE,,280 DEMB16,98,Sedum condollei,CRASSULACEAE,GR,Sedum,condollei,,
Navasomera NORTE,,279 DEMB16,99,Cryptogramma crispa,PTERIDACEAE,GR,Cryptogramma,crispa,,
Navasomera NORTE,,278 DEMB16,100,Minuarta recurva,CARYOPHYLLACEAE,GR,Minuarta,recurva,,
Navasomera NORTE,,275 DEMB16,101,Galium saxatile,RUBIACEAE,GR,Galium,saxatile,,
Navasomera NORTE,,274 DEMB16,102,Jasione laevis subsp. carpetana,CAMPANULACEAE,GR,Jasione,laevis,carpetana,
Navasomera NORTE,,269 DEMB16,103,Viola palustris,VIOLACEAE,GR,Viola,palustris,,
Navasomera SUR,,255 DEMB16,104,Sedum brevifolium,CRASSULACEAE,GR,Sedum,brevifolium,,
Navasomera SUR,,253 DEMB16,105,Pedicularis sylvatica,OROBANCHACEAE,GR,Pedicularis,sylvatica,,
Navasomera SUR,,264 DEMB16,106,Narcissus nivalis,AMARYLLIDACEAE,GR,Narcissus,nivalis,,
Navasomera SUR,,262 DEMB16,107,Gagea soleirolii,LILIACEAE,GR,Gagea,soleirolii,,
Navasomera SUR,,261 DEMB16,108,Conopodium bunioides,APIACEAE,GR,Conopodium,bunioides,,
Navasomera NORTE,,282 DEMB16,109,Silene ciliata,CARYOPHYLLACEAE,GR,Silene,ciliata,,
Navasomera SUR,,248 DEMB16,110,Plantago alpina,PLANTAGINACEAE,GR,Plantago,alpina,,
Navasomera SUR,,259 DEMB16,111,Rumex angiocarpus,POLYGONACEAE,GR,Rumex,angiocarpus,,
Navasomera SUR,,263 DEMB16,112,Cerastium ramosissima,CARYOPHYLLACEAE,GR,Cerastium,ramosissima,,
Navasomera SUR,,270 DEMB16,113,Saxifraga stellaris,SAXIFRAGACEAE,GR,Saxifraga,stellaris,,
Navasomera NORTE,,284 DEMB16,114,Taraxacum schoroetaranum,ASTERACEAE,GR,Taraxacum,schoroetaranum,,
Navasomera SUR,,256 DEMB16,115,Veronica serpyllifolia,PLANTAGINACEAE,GR,Veronica,serpyllifolia,,
Navasomera NORTE,,268 DEMB16,116,Carex furva,CYPERACEAE,GR,Carex,furva,,
Navasomera NORTE,,267 DEMB16,117,Carex nigra,CYPERACEAE,GR,Carex,nigra,,
Navasomera SUR,,251 DEMB16,118,Campanula herminii 2,CAMPANULACEAE,GR,Campanula,herminii,,
,,,,,,,,,,
,,,,,,,,,,
